00.000,09.562,18.209,26.030,33.103,39.499
00.000,07.287,16.601,24.423,31.496,37.893
00.000,05.411,15.152,22.978,30.051,36.448
00.000,03.851,13.746,21.584,28.657,35.053
00.000,02.879,12.484,20.342,27.415,33.812
00.000,01.808,11.039,18.967,26.040,32.437
00.000,00.000,00.000,00.000,00.000,00.000
00.000,-01.18,14.087,21.913,28.986,35.382
00.000,-00.62,13.781,21.616,28.689,35.086
00.000,-00.41,12.629,20.482,27.555,33.952
00.000,00.000,00.000,00.000,00.000,00.000
00.000,-00.10,09.723,17.758,24.832,31.228
00.000,06.847,14.514,21.688,28.368,34.623
00.000,05.115,13.419,20.666,27.672,34.053
00.000,02.828,11.393,19.339,26.400,32.795
00.000,01.881,10.426,19.265,26.336,32.732
00.000,00.000,00.000,00.000,00.000,00.000
00.000,-00.34,06.621,16.564,23.638,30.035
00.000,02.332,13.354,20.536,27.178,33.454
00.000,03.298,13.360,20.676,27.325,33.913
00.000,03.062,11.651,19.515,26.165,32.665
00.000,01.707,09.538,17.503,24.160,30.581
00.000,00.000,00.000,00.000,00.000,00.000
00.000,00.011,07.556,14.217,22.459,28.856
00.000,02.332,12.656,19.699,26.174,32.030
00.000,00.000,00.000,00.000,00.000,00.000
00.000,06.047,12.742,19.699,26.192,32.336
00.000,04.923,11.489,18.474,24.966,31.100
00.000,03.105,09.412,16.302,22.775,28.865
00.000,02.249,08.517,15.284,21.708,27.929
00.000,06.847,13.679,20.853,27.329,33.185
00.000,04.889,11.459,18.502,24.977,30.833
00.000,04.345,11.681,18.574,25.049,31.130
00.000,04.879,11.636,18.722,25.165,31.242
00.000,03.972,10.490,17.460,23.900,29.941
00.000,03.060,09.386,16.241,22.671,28.696