,1,2,3,4,5,6,7,8,9
"State(0, 0)",0,4.692,13.805,22.047,29.501,36.242,42.338,47.852,52.838
"State(0, 1)",0,-4.79,11.698,20.412,27.894,34.635,40.731,46.245,51.231
"State(0, 2)",0,-1.59,4.146,18.729,26.447,33.19,39.287,44.8,49.786
"State(0, 3)",0,-0.44,4.854,13.107,25.036,31.795,37.892,43.405,48.392
"State(0, 4)",0,-0.47,-0.69,12.076,23.793,30.554,36.651,42.164,47.15
"State(0, 5)",0,-0.38,-0.66,11.068,22.046,29.179,35.276,40.789,45.775
Wall,0,0,0,0,0,0,0,0,0
"State(1, 1)",0,-6.95,4.996,17.664,25.381,32.125,38.221,43.735,48.721
"State(1, 2)",0,-1.76,5.649,15.34,25.07,31.828,37.925,43.438,48.424
"State(1, 3) ",0,-0.09,6.529,13.571,23.81,30.694,36.791,42.304,47.29
Wall,0,0,0,0,0,0,0,0,0
"State(1, 5) ",0,-0.38,-0.32,11.903,17.709,27.969,34.067,39.58,44.567
"State(2, 0)",0,4.631,12.71,19.973,26.546,32.491,37.955,43.1,47.956
"State(2, 1)",0,-4.9,10.915,18.709,25.396,31.422,36.936,42.419,47.391
"State(2, 2)",0,-2.65,8.107,16.395,23.365,29.458,35.643,41.149,46.133
"State(2, 3)",0,0.252,7.643,14.373,22.375,29.473,35.573,41.084,46.071
Wall,0,0,0,0,0,0,0,0,0
"State(2, 5)",0,-0.38,1.308,12.863,18.687,24.131,32.873,38.387,43.373
"State(3, 0)",0,4.202,11.563,18.833,25.407,31.353,36.802,41.909,46.786
"State(3, 1)",0,2.123,11.631,18.956,25.542,31.497,36.942,42.056,47.253
"State(3, 2)",0,1.752,10.117,17.723,24.312,30.275,35.777,40.891,46.031
"State(3, 3)",0,0.624,8.599,15.143,22.166,28.222,33.762,38.882,43.922
Wall,0,0,0,0,0,0,0,0,0
"State(3, 5) ",0,-0.38,6.773,13.836,19.678,25.17,30.435,37.208,42.194
"State(4, 0)",0,-2.47,10.422,17.691,24.265,30.211,35.72,40.663,45.575
Wall,0,0,0,0,0,0,0,0,0
"State(4, 2)",0,2.9,11.232,18.312,24.553,30.479,35.896,40.871,45.959
"State(4, 3)",0,2.843,10.635,17.054,23.387,29.267,34.677,39.645,44.671
"State(4, 4)",0,0.173,8.661,15.065,21.3,27.113,32.503,37.45,42.407
"State(4, 5) ",0,-0.11,7.751,14.821,20.682,26.225,31.506,36.37,41.427
"State(5, 0)",0,-2.72,10.388,18.531,25.381,31.414,36.874,41.818,46.447
"State(5, 1)",0,-4.28,8.636,15.051,23.023,29.068,34.523,39.466,44.064
"State(5, 2)",0,2.37,10.852,17.272,23.121,29.351,34.753,39.706,44.687
"State(5, 3)",0,5.395,11.836,18.18,23.987,29.651,34.948,39.822,44.778
"State(5, 4)",0,1.344,10.58,16.922,22.764,28.39,33.685,38.559,43.455
"State(5, 5) ",0,-0.57,9.375,15.79,21.621,27.186,32.467,37.331,42.177